Id,Name,Description,Longitude,Latitude,Status
40,MIDAS site at M25/5165M priority 1 on link 199004303; GPS Ref: 506995;198997; Anti-clockwise,M25/5165M,-0.45385907000000003,51.67956105,Active
41,MIDAS site at M6/5962B priority 1 on link 112001801; GPS Ref: 399484;296775; Southbound,M6/5962B,-2.009039742,52.56881558,Active
42,MIDAS site at M1/2717J priority 1 on link 200113967; GPS Ref: 496935;236982; Northbound,M1/2717J,-0.5886717770000001,52.02280782,Active
43,MIDAS site at M1/5157B priority 1 on link 200109149; GPS Ref: 441230;434599; Southbound,M1/5157B,-1.3754168070000001,53.80607553,Active
44,MIDAS site at M1/2607J priority 1 on link 123018901; GPS Ref: 503099;228536; Northbound,M1/2607J,-0.5014038150000001,51.94578702,Active
45,MIDAS Site at M20/6568B1 priority 1 on link 104030102; GPS Ref: 575546;158544; Westbound,M20/6568B1,0.516700017,51.29895409,Active
46,MIDAS site at M25/4465A priority 3 on link 200116863; GPS Ref: 530403;153341; Clockwise,M25/4465A,-0.132304638,51.26431668,Active
47,MIDAS site at M621/1133A priority 1 on link 116021901; GPS Ref: 432159;429104; Eastbound,M621/1133A,-1.513722693,53.75732587,Active
48,MIDAS site at M42/6168A priority 1 on link 125027701; GPS Ref: 401176;273071; Northbound,M42/6168A,-1.984149155,52.35571578,Active
49,MIDAS site at M1/4085B priority 1 on link 107033101; GPS Ref: 450426;348844; Southbound,M1/4085B,-1.249475869,53.03452524,Active
50,MIDAS site at M5/9061A priority 1 on link 102033901; GPS Ref: 325860;125311; Southbound,M5/9061A,-3.058455352,51.02236532,Active
51,MIDAS site at M4/2718B priority 1 on link 123030901; GPS Ref: 466136;170752; Eastbound,M4/2718B,-1.050010895,51.43192101,Inactive
52,MIDAS site at M6/6199A priority 1 on link 111036901; GPS Ref: 392699;318595; Northbound,M6/6199A,-2.109636525,52.76491979,Inactive
53,MIDAS site at M1/3911A priority 3 on link 199017201; GPS Ref: 447157;333096; Northbound,M1/3911A,-1.300504398,52.89327167,Inactive
54,MIDAS site at M2/8818M priority 1 on link 104049502; GPS Ref: 601600;159621; Westbound,M2/8818M,0.8905547840000001,51.30000822,Active
55,MIDAS site at M6/6827A priority 4 on link 123008901; GPS Ref: 373269;372810; Northbound,M6/6827A,-2.402093477,53.25163907,Inactive
56,MIDAS site at A2/8402A priority 1 on link 200045690; GPS Ref: 566623;170153; Eastbound,A2/8402A,0.39426259999999996,51.40592801,Active
57,MIDAS site at M25/4322B priority 1 on link 125019301; GPS Ref: 544057;154700; Anti-clockwise,M25/4322B,0.063815576,51.27324426,Active
58,MIDAS site at M5/7242B priority 1 on link 199096302; GPS Ref: 396200;274670; Northbound,M5/7242B,-2.05722984,52.37007656,Active
59,MIDAS site at A1M/9922B priority 1 on link 118013201; GPS Ref: 438308;470312; Southbound,A1M/9922B,-1.415313517,54.12725746,Active
60,MIDAS site at M1/3702B priority 1 on link 126024001; GPS Ref: 448097;313165; Southbound,M1/3702B,-1.289455742,52.71403294,Active
61,MIDAS site at M4/3549A priority 1 on link 123001901; GPS Ref: 389782;179198; Westbound,M4/3549A,-2.148627381,51.51161375,Active
62,MIDAS site at M1/3130A priority 8 on link 123016901(Non-monitoring MIDAS); GPS Ref: 464284;261243; Northbound,M1/3130A,-1.059864638,52.24563956,Inactive
63,MIDAS site at M4/3507A priority 1 on link 102004601; GPS Ref: 393995;179491; Westbound,M4/3507A,-2.087923522,51.51430996,Active
64,MIDAS site at M62/1324A priority 1 on link 199086001; GPS Ref: 365923;393146; Eastbound,M62/1324A,-2.514386562,53.43400269,Inactive
65,MIDAS site at M11/6904A priority 1 on link 199043302; GPS Ref: 541607;261047; Northbound,M11/6904A,0.07199789,52.22943405,Active
66,MIDAS site at M1/3563B priority 1 on link 107032803; GPS Ref: 454289;301774; Southbound,M1/3563B,-1.19967871,52.61105683,Active
67,MIDAS site at M1/3776A priority 4 on link 107031701; GPS Ref: 448618;320430; Northbound,M1/3776A,-1.280671379,52.77929085,Active
