VehType,RoadType,DayOfWeek,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LGV,Motorway,0,8.818960196922728,8.298923231993623,11.375808607824158,15.341090465408577,32.97901085925403,67.9514967507363,177.83097379888164,237.44021090388023,231.9364863583805,223.43171516110246,199.26083039533512,197.05067329438646,189.9218332334833,196.37895888135301,208.23146804036222,224.51512550470477,214.37440468858725,144.39693059531464,94.01834961780764,57.724103107130574,38.03853716387678,26.868576521337058,18.7429989443198,13.29344491600023
LGV,Motorway,1,9.469006403084109,8.873130714102842,10.173223126425604,14.311850638986392,24.89676969598087,52.20954445819487,162.12152381664828,237.19102652485168,223.3667105404863,216.66040051358812,194.79717977969366,196.33562246760894,189.93266733691934,198.40493622388934,213.7026902755538,232.18567073740908,217.3646172369296,148.6655673491077,100.71382554126987,62.241924239952176,40.7362289194465,29.11123593259382,20.877317321216335,14.474362190526739
LGV,Motorway,2,10.41157340201811,9.47984050652013,9.3714994721599,13.900154708417517,24.257557593255513,50.866115632128015,161.1897909211503,240.159570866322,225.68520867579528,215.37114220470136,197.70071950054782,197.10484381156655,191.17858923206197,202.84691863265874,217.75464496062642,237.03934907674738,220.93987137081717,149.92232334768636,102.78313929755028,64.40874492715677,42.40468084859405,30.194646276196117,21.451524803325555,14.853555810787542
LGV,Motorway,3,10.454909815762202,9.198153817183533,10.281564160785834,14.279348328678324,24.625917110080294,52.31788549255511,163.2591046774307,241.34048814084852,226.68194619190936,216.25953868645524,197.19151663905475,199.57501939497982,196.2272814332487,206.34633404249422,221.57908347354254,238.35027559250616,219.44476509664602,151.5366047596538,106.39089574174592,67.39895747549912,46.088276016841874,32.437305687452884,23.74835473176243,17.128717532352375
LGV,Motorway,4,12.350877917066228,10.476578022634248,11.429979125004271,14.279348328678324,23.965036800482892,49.69603246103753,154.85184041107684,239.56369517734072,219.85646102721486,209.4557217286328,202.7277434948625,213.85436772365813,216.3245433070714,226.4544300197529,239.1194969364638,228.87043508598603,186.59576347862426,136.28218712173341,98.43866381970504,66.09886506317636,44.0297963639975,31.31055893010649,23.81335935237857,19.068022047400493
LGV,Motorway,5,14.712712466119243,12.080025331165652,10.639089574174593,11.38664271126018,16.511173636499063,26.229364418611702,56.803204315068626,90.86562551792495,99.02370540525028,106.91093270667503,112.33881852812256,115.81656573108594,113.8230906988577,103.73654039992029,96.41268647716873,89.81471748463072,83.63927852609761,73.69357157182849,59.57673479469051,44.517331018618535,32.491476204632995,25.525147695270206,23.000801594676844,19.848077494794147
LGV,Motorway,6,16.478671326190995,12.415882537682366,9.588181540880361,10.639089574174593,13.97599343246968,15.514436120384945,27.486120417190367,40.010343989232965,47.99507822158192,60.97433413793748,73.46605539967202,81.60246708012528,86.01194717858665,83.50926928486534,80.78990932242355,80.74657290867947,79.13229149671204,69.43576892147145,57.897448762106954,44.90735874231536,33.325702169206764,24.322562213871652,18.017114014106262,12.990090019791586
Rigid,Motorway,0,10.596330275229358,10.957568807339449,13.576548165137615,17.640481651376145,38.05045871559633,71.31450688073394,153.8424598623853,199.5842889908257,240.16341743119267,257.99956995412845,248.38159403669727,251.8284116972477,228.7693520642202,237.03268348623854,243.68549311926606,219.33199541284404,160.70599197247705,97.20326834862385,65.57984518348624,42.611095183486235,29.651662844036696,22.351634174311926,18.588732798165136,16.240682339449542
Rigid,Motorway,1,13.636754587155963,14.163560779816514,17.08357224770642,21.553899082568805,39.52551605504587,75.15266628440367,161.06723050458714,206.79400802752292,242.16528096330276,263.61381880733944,252.59604357798167,252.03913417431193,226.49655963302752,242.51146788990826,250.71459288990826,225.78913417431195,163.2346616972477,103.10349770642202,69.5083142201835,45.68162270642202,32.24053899082569,23.736381880733944,19.612241972477065,17.459862385321102
Rigid,Motorway,2,14.630160550458715,14.991399082568806,17.384604357798164,23.691227064220183,42.204701834862384,75.45369839449542,163.4604357798165,214.229501146789,246.74096903669724,265.4952694954128,258.5715309633028,254.6430619266055,228.82955848623854,247.297878440367,249.55561926605503,226.9782110091743,162.48208142201835,104.09690366972477,71.32955848623853,47.14162844036697,32.79744839449542,25.271645642201833,20.455131880733944,18.603784403669724
